"Ranking","Rangking.Provinsi","Nilai.Total","NPSN","Sekolah","Provinsi","Kab.Kota","Jenis"
1,1,601.683,"20109933","SMAN UNGGULAN M.H. THAMRIN","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
2,1,599.654,"20623314","MAN INSAN CENDEKIA SERPONG","BANTEN","KOTA TANGERANG SELATAN","MA"
3,1,598.523,"10263538","SMAS UNGGUL DEL","SUMATERA UTARA","KAB. TOBA SAMOSIR","SMA"
4,2,594.865,"20102568","SMAN 8 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
5,1,594.605,"20532248","SMAN 5 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
6,3,594.437,"20101306","SMAS 1 KRISTEN BPK PENABUR","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
7,1,592.52,"20219730","SMAS BPK 1 PENABUR BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
8,4,589.811,"20104413","SMAS DIAN HARAPAN","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
9,1,588.002,"20403174","SMAN 1 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
10,2,587.81,"20532145","SMA KATOLIK ST.LOUIS 1","JAWA TIMUR","KOTA SURABAYA","SMA"
11,1,586.834,"30315142","SMAN BANUA KAL SEL","KALIMANTAN SELATAN","KAB. BANJAR","SMA"
12,2,585.96,"20403178","SMAN 3 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
13,5,585.437,"20107319","SMAN 28 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
14,6,585.048,"20103301","SMAN 81 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
15,3,584.729,"20532136","SMAS KRISTEN PETRA 2 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
16,7,584.684,"20100170","SMAS KANISIUS JAKARTA","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
17,2,584.01,"20613520","SMAS SANTA LAURENSIA","BANTEN","KOTA TANGERANG SELATAN","SMA"
18,3,583.676,"20403161","SMAN 8 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
19,2,582.568,"20219731","SMAS BINA BHAKTI 1","JAWA BARAT","KOTA BANDUNG","SMA"
20,8,582.07,"20110335","SMAS KRISTEN 6 PENABUR","DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
21,9,581.589,"20100187","SMAS KRISTEN 3 PENABUR JAKARTA","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
22,10,581.585,"20100601","SMAS KRISTEN 5 BPK PENABUR","DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
23,3,581.123,"20219263","SMAS ALLOYSIUS 1","JAWA BARAT","KOTA BANDUNG","SMA"
24,3,580.709,"20603357","SMAS KRISTEN BPK PENABUR GADING SERPONG","BANTEN","KAB. TANGERANG","SMA"
25,11,580.44,"20108383","SMAS SANTA URSULA","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
26,12,580.165,"20109467","SMAS KRISTEN IPEKA PURI INDAH","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
27,4,579.837,"20603376","SMAS SANTA URSULA BSD","BANTEN","KOTA TANGERANG SELATAN","SMA"
28,13,579,"20107313","SMA LABSCHOOL KEBAYORAN","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
29,14,577.815,"20102214","SMAN 34 JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
30,5,577.767,"20616061","SMAS PAHOA","BANTEN","KAB. TANGERANG","SMA"
31,4,577.078,"20403177","SMAN 2 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
32,6,576.357,"20616291","SMAS ATHALIA","BANTEN","KOTA TANGERANG SELATAN","SMA"
33,1,576.114,"20328915","SMAS KOLESE LOYOLA","JAWA TENGAH","KOTA SEMARANG","SMA"
34,2,575.833,"20328895","SMA NEGERI 03","JAWA TENGAH","KOTA SEMARANG","SMA"
35,3,575.671,"20327966","SMAN 1 SURAKARTA","JAWA TENGAH","KOTA SURAKARTA","SMA"
36,1,575.538,"60728785","MAN Insan Cendekia Gorontalo","GORONTALO","KAB. BONE BOLANGO","MA"
37,4,575.228,"69895400","SMA BPK PENABUR HOLIS","JAWA BARAT","KOTA BANDUNG","SMA"
38,7,575.117,"69787002","SMAK PENABUR KOTA TANGERANG","BANTEN","KOTA TANGERANG","SMA"
39,5,574.94,"20220342","SMAN 1 BOGOR","JAWA BARAT","KOTA BOGOR","SMA"
40,4,574.806,"20533665","SMAN 3","JAWA TIMUR","KOTA MALANG","SMA"
41,5,574.582,"20403171","SMAN 6 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
42,5,574.527,"20533654","SMAS K KOLESE ST YUSUP","JAWA TIMUR","KOTA MALANG","SMA"
43,15,574.511,"20101622","SMAN 2 JAKARTA","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
44,16,573.89,"20100199","SMAN 68 JAKARTA","DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
45,4,573.763,"69941723","MAN INSAN CENDEKIA PEKALONGAN","JAWA TENGAH","KAB. PEKALONGAN","MA"
46,17,572.779,"20101588","SMAN 78 JAKARTA","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
47,6,572.747,"20400405","SMA NEGERI 1 BANTUL","DI YOGYAKARTA","KAB. BANTUL","SMA"
48,18,572.583,"20107383","SMAS KRISTEN IPEKA SUNTER","DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
49,6,572.43,"20219327","SMAN 3 BANDUNG","JAWA BARAT","KOTA BANDUNG","SMA"
50,19,572.404,"20101305","SMAS 4 KRISTEN PENABUR","DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
51,7,572.032,"20403162","SMAN 9 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
52,6,571.169,"20532230","SMAN 2 SURABAYA","JAWA TIMUR","KOTA SURABAYA","SMA"
53,7,571.101,"20219266","SMAS ST ANGELA","JAWA BARAT","KOTA BANDUNG","SMA"
54,20,571.055,"20103307","SMAN 61 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
55,21,570.644,"20103314","SMAN 48 JAKARTA","DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
56,2,570.339,"10210848","SMAS SUTOMO 1","SUMATERA UTARA","KOTA MEDAN","SMA"
57,8,569.568,"20253810","SMAS DON BOSCO III","JAWA BARAT","KAB. BEKASI","SMA"
58,7,569.392,"20533660","SMAN 1","JAWA TIMUR","KOTA MALANG","SMA"
59,1,569.272,"11002581","SMAS MAITREYAWIRA","KEPULAUAN RIAU","KOTA BATAM","SMA"
60,22,569.183,"20107299","SMAS GONZAGA JAKARTA","DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
61,8,569.116,"20580050","MAN 2 KOTA MALANG","JAWA TIMUR","KOTA MALANG","MA"
62,9,568.997,"20523844","SMAN 1 JEMBER","JAWA TIMUR","KAB. JEMBER","SMA"
63,8,568.948,"20606507","SMAS UPH COLEGE","BANTEN","KAB. TANGERANG","SMA"
64,8,568.833,"20403180","SMAN 5 YOGYAKARTA","DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
65,23,568.783,"20100603","SMAS KRISTEN YUSUF","DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
