"Ranking","Gap","NPSN","Sekolah","Nilai.Total","Provinsi","Kab.Kota","Jenis"
1,NA,20623314,"MAN INSAN CENDEKIA SERPONG",666.494,"BANTEN","KOTA TANGERANG SELATAN","MA"
2,11,20532145,"SMA KATOLIK ST.LOUIS 1",641.482,"JAWA TIMUR","KOTA SURABAYA","SMA"
3,NA,69978389,"SMA PRADITA DIRGANTARA",640.747,"JAWA TENGAH","KAB. BOYOLALI","SMA"
4,30,69941723,"MAN INSAN CENDEKIA PEKALONGAN",637.499,"JAWA TENGAH","KOTA PEKALONGAN","MA"
5,-2,20102568,"SMAN 8 JAKARTA",635.347,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
6,6,20107313,"SMA LABSCHOOL KEBAYORAN",634.304,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
7,9,20100170,"SMAS KANISIUS JAKARTA",632.269,"DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
8,21,20101622,"SMAN 2 JAKARTA",631.421,"DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
9,-4,20219730,"SMAS BPK 1 PENABUR BANDUNG",630.562,"JAWA BARAT","KOTA BANDUNG","SMA"
10,11,20100199,"SMAN 68 JAKARTA",629.223,"DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
11,6,20403161,"SMAN 8 YOGYAKARTA",628.538,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
12,-8,10263538,"SMAS UNGGUL DEL",628.1,"SUMATERA UTARA","KAB. TOBA","SMA"
13,-3,20403174,"SMAN 1 YOGYAKARTA",625.86,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
14,-5,20107319,"SMAN 28 JAKARTA",625.145,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
15,-8,20403178,"SMAN 3 YOGYAKARTA",624.698,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
16,-5,20103301,"SMAN 81 JAKARTA",624.037,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
17,-3,20100601,"SMAS KRISTEN 5 BPK PENABUR",621.951,"DKI JAKARTA","KOTA JAKARTA UTARA","SMA"
18,62,20401146,"SMAN 1 GODEAN",621.865,"DI YOGYAKARTA","KAB. SLEMAN","SMA"
19,16,20580050,"MAN 2 KOTA MALANG",617.605,"JAWA TIMUR","KOTA MALANG","MA"
20,106,69975889,"MAN INSAN CENDEKIA KOTA BATAM",616.585,"KEPULAUAN RIAU","KOTA BATAM","MA"
21,26,20403171,"SMAN 6 YOGYAKARTA",616.488,"DI YOGYAKARTA","KOTA YOGYAKARTA","SMA"
22,39,20103283,"SMAN 21 JAKARTA",616.405,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
23,8,20103307,"SMAN 61 JAKARTA",615,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
24,-2,30315142,"SMAN BANUA KAL SEL",613.488,"KALIMANTAN SELATAN","KAB. BANJAR","SMA"
25,1,20603357,"SMAS KRISTEN BPK PENABUR GADING SERPONG",613.312,"BANTEN","KAB. TANGERANG","SMA"
26,-7,20102214,"SMAN 34 JAKARTA",613.287,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
27,12,20103314,"SMAN 48 JAKARTA",611.964,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
28,-5,20328915,"SMAS KOLESE LOYOLA",611.291,"JAWA TENGAH","KOTA SEMARANG","SMA"
29,NA,20279931,"SMAS AL-IRSYAD SATYA ",609.602,"JAWA BARAT","KAB. BANDUNG BARAT","SMA"
30,-6,20108383,"SMAS SANTA URSULA",609.237,"DKI JAKARTA","KOTA JAKARTA PUSAT","SMA"
31,121,69856916,"SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG",609.216,"SUMATERA SELATAN","KOTA PALEMBANG","SMA"
32,-2,20101588,"SMAN 78 JAKARTA",607.431,"DKI JAKARTA","KOTA JAKARTA BARAT","SMA"
33,10,20219263,"SMAS ALLOYSIUS 1",605.233,"JAWA BARAT","KOTA BANDUNG","SMA"
34,51,20247147,"SMAS PESANTREN UNGGUL AL BAYAN",604.424,"JAWA BARAT","KAB. SUKABUMI","SMA"
35,-10,60728785,"MAN Insan Cendekia Gorontalo",603.66,"GORONTALO","KAB. BONE BOLANGO","MA"
36,26,20102193,"SMAN 47 JAKARTA",603.293,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
37,110,10507942,"MAN INSAN CENDEKIA JAMBI",602.429,"JAMBI","KAB. MUARO JAMBI","MA"
38,2,20102218,"SMAN 26 JAKARTA",602.227,"DKI JAKARTA","KOTA JAKARTA SELATAN","SMA"
39,64,20103223,"SMAS LABSCHOOL JAKARTA",601.467,"DKI JAKARTA","KOTA JAKARTA TIMUR","SMA"
40,NA,69978962,"MAN INSAN CENDEKIA PASURUAN",600.516,"JAWA TIMUR","KAB. PASURUAN","MA"
